"","Method","Index","Date","Loc","SVL","Mass","Microhabitat","Pads","Color","Eggs","Recap","PIT_ID","Stage","Underground","tran2017","newindex"
"954","RoadVES",1206,"14-May-17","","49.9","","","N","DY","Y","","","F","","NO",954
"955","RoadVES",1491,"16-May-17","","49.9","","","N","GY","Y","","","F","","NO",955
"956","RoadVES",1658,"18-May-17","","49.9","","","N","DY","Y","","","F","","NO",956
"957","RoadVES",1753,"18-May-17","","49.9","","","N","DY","Y","","","F","","NO",957
"958","RoadVES",1954,"19-May-17","","49.9","","","N","DY","Y","","","F","","NO",958
"959","RoadVES",437,"23-Apr-16","4118460","50.1","-","L.L.","N","DY","Y","","","F","","NO",959
"960","RoadVES",1122,"11-May-17","","50.1","","","N","GY","Y","","","F","","NO",960
"961","RoadVES",1395,"15-May-17","","50.1","","","N","GY","Y","","","F","","NO",961
"962","RoadVES",1737,"17-May-17","","50.1","","","N","DY","Y","","","F","","NO",962
"963","RoadVES",1853,"18-May-17","","50.1","","","N","DY","Y","","","F","","NO",963
"964","RoadVES",1959,"19-May-17","","50.1","","","N","DY","Y","","","F","","NO",964
"965","RoadVES",1748,"18-May-17","","50.2","","","N","DY","Y","","","F","","NO",965
"966","RoadVES",493,"28-Apr-16","4118404","50.3","14.2","L.L.","N","GY","Y","","","F","","NO",966
"967","RoadVES",849,"21-Jun-16","4118580","50.3","14.3","L.L.","N","DY","Y","","","F","","NO",967
"968","RoadVES",1999,"19-May-17","","50.3","","","N","GY","Y","","","F","","NO",968
"969","RoadVES",2185,"20-May-17","","50.3","","","N","GY","Y","","","F","","NO",969
"970","RoadVES",882,"1-Jul-16","4118810","50.4","-","L.L.","N","GY","Y","","","F","","NO",970
"971","RoadVES",1699,"17-May-17","","50.4","","","N","DY","Y","","","F","","NO",971
"972","RoadVES",1878,"18-May-17","","50.4","","","N","GY","Y","","","F","","NO",972
"973","RoadVES",1196,"12-May-17","","50.5","","","N","GY","Y","","","F","","NO",973
"974","RoadVES",1604,"17-May-17","","50.5","","","N","GY","Y","","","F","","NO",974
"975","RoadVES",518,"28-Apr-16","4118404","50.6","-","L.L.","N","DY","Y","","","F","","NO",975
"976","RoadVES",859,"21-Jun-16","4118580","50.6","-","L.L.","N","DY","Y","","","F","","NO",976
"977","RoadVES",1650,"18-May-17","","50.6","","","N","DY","Y","","","F","","NO",977
"978","RoadVES",1839,"18-May-17","","50.6","","","N","GY","Y","","","F","","NO",978
"979","RoadVES",401,"22-Apr-16","4118460","50.7","13.8","L.L.","N","DY","Y","","","F","","NO",979
"980","RoadVES",1282,"14-May-17","","50.7","","","N","GY","Y","","","F","","NO",980
"981","RoadVES",1641,"17-May-17","","50.7","","","N","GY","Y","","","F","","NO",981
"982","RoadVES",1662,"18-May-17","","50.7","","","N","DY","Y","","","F","","NO",982
"983","RoadVES",1677,"18-May-17","","50.7","","","N","Y","Y","","","F","","NO",983
"984","RoadVES",1965,"19-May-17","","50.7","","","N","DY","Y","","","F","","NO",984
"985","RoadVES",745,"11-May-16","4118567","50.8","-","L.L.","N","Y","Y","","","F","","NO",985
"986","RoadVES",1602,"17-May-17","","50.8","","","N","DY","Y","","","F","","NO",986
"987","RoadVES",1915,"19-May-17","","50.8","","","N","Y","Y","","","F","","NO",987
"988","RoadVES",2193,"20-May-17","","50.8","","","N","DY","Y","","","F","","NO",988
"989","RoadVES",1899,"18-May-17","","50.9","","","N","DY","Y","","","F","","NO",989
"990","RoadVES",2166,"19-May-17","","50.9","","","N","GY","Y","","","F","","NO",990
"991","RoadVES",800,"15-May-16","","51","-","L.L.","N","DY","Y","","","F","","NO",991
"992","RoadVES",1634,"17-May-17","","51","","","N","G","Y","","","F","","NO",992
"993","RoadVES",1872,"18-May-17","","51","","","N","DY","Y","","","F","","NO",993
"994","RoadVES",2137,"19-May-17","","51","","","N","DY","Y","","","F","","NO",994
"995","RoadVES",2168,"19-May-17","","51","","","N","DY","Y","","","F","","NO",995
"996","RoadVES",857,"21-Jun-16","4118580","51.1","-","L.L.","N","GY","Y","","","F","","NO",996
"997","RoadVES",1820,"18-May-17","","51.1","","","N","DY","Y","","","F","","NO",997
"998","RoadVES",480,"27-Apr-16","4118404","51.2","-","L.L.","N","DY","Y","","","F","","NO",998
"999","RoadVES",1099,"11-May-17","","51.2","","","N","GY","Y","","","F","","NO",999
"1000","RoadVES",1107,"11-May-17","","51.2","","","N","DY","Y","","","F","","NO",1000
"1001","RoadVES",1645,"17-May-17","","51.2","","","N","DY","Y","","","F","","NO",1001
"1002","RoadVES",1780,"18-May-17","","51.2","","","N","DY","Y","","","F","","NO",1002
"1003","RoadVES",526,"28-Apr-16","4118404","51.3","-","L.L.","N","DY","Y","","","F","","NO",1003
"1004","RoadVES",451,"23-Apr-16","4118460","51.4","-","L.L.","N","DY","Y","","","F","","NO",1004
"1005","RoadVES",569,"9-May-16","4118457","51.5","14.6","L.L.","N","DY","Y","","","F","","NO",1005
"1006","RoadVES",804,"15-May-16","","51.5","-","L.L.","N","G","Y","","","F","","NO",1006
"1007","RoadVES",1727,"17-May-17","","51.5","","","N","Y","Y","","","F","","NO",1007
"1008","RoadVES",1957,"19-May-17","","51.5","","","N","Y","Y","","","F","","NO",1008
"1009","RoadVES",1791,"18-May-17","","51.6","","","N","DY","Y","","","F","","NO",1009
"1010","RoadVES",2173,"19-May-17","","51.6","","","N","GY","Y","","","F","","NO",1010
"1011","RoadVES",837,"21-Jun-16","4118580","51.7","12.2","L.L.","N","GY","Y","","","F","","NO",1011
"1012","RoadVES",1018,"19-Aug-16","","51.7","-","L.L.","N","GY","Y","","","F","","NO",1012
"1013","RoadVES",1861,"18-May-17","","51.7","","","N","DY","Y","","","F","","NO",1013
"1014","RoadVES",884,"1-Jul-16","4118810","51.8","-","L.L.","N","DY","Y","","","F","","NO",1014
"1015","RoadVES",1575,"17-May-17","","51.8","","","N","DY","Y","","","F","","NO",1015
"1016","RoadVES",1808,"18-May-17","","51.9","","","N","Y","Y","","","F","","NO",1016
"1017","RoadVES",1821,"18-May-17","","51.9","","","N","DY","Y","","","F","","NO",1017
"1018","RoadVES",397,"22-Apr-16","4118460","52","17.2","L.L.","N","GY","Y","","","F","","NO",1018
"1019","RoadVES",689,"10-May-16","4118457","52","18","L.L.","N","DY","Y","","","F","","NO",1019
"1020","RoadVES",2126,"19-May-17","","52","","","N","DY","Y","","","F","","NO",1020
"1021","RoadVES",553,"28-Apr-16","4118404","52.2","15.5","L.L.","N","GY","Y","","","F","","NO",1021
"1022","RoadVES",1626,"17-May-17","","52.2","","","N","Y","Y","","","F","","NO",1022
"1023","RoadVES",2030,"19-May-17","","52.2","","","N","GY","Y","","","F","","NO",1023
"1024","RoadVES",1193,"12-May-17","","52.3","","","N","Y","Y","","","F","","NO",1024
"1025","RoadVES",1320,"14-May-17","","52.3","","","N","DY","Y","","","F","","NO",1025
"1026","RoadVES",1442,"16-May-17","","52.3","","","N","DY","Y","","","F","","NO",1026
"1027","RoadVES",2221,"20-May-17","","52.3","","","N","DY","Y","","","F","","NO",1027
"1028","RoadVES",444,"23-Apr-16","4118460","52.4","-","L.L.","N","GY","Y","","","F","","NO",1028
"1029","RoadVES",943,"11-Jul-16","-","52.6","","L.L.","N","GY","Y","","","F","","NO",1029
"1030","RoadVES",2044,"19-May-17","","52.6","","","N","DY","Y","","","F","","NO",1030
"1031","RoadVES",530,"28-Apr-16","4118404","52.7","21","L.L.","N","Y","Y","","","F","","NO",1031
"1032","RoadVES",978,"20-Jul-16","4119769","52.7","-","L.L.","N","DY","Y","","","F","","NO",1032
"1033","RoadVES",993,"19-Aug-16","","52.7","-","L.L.","N","DY","Y","","","F","","NO",1033
"1034","RoadVES",1798,"18-May-17","","52.7","","","N","DY","Y","","","F","","NO",1034
"1035","RoadVES",2140,"19-May-17","","52.7","","","N","DY","Y","","","F","","NO",1035
"1036","RoadVES",1625,"17-May-17","","52.8","","","N","G","Y","","","F","","NO",1036
"1037","RoadVES",1646,"18-May-17","","52.8","","","N","DY","Y","","","F","","NO",1037
"1038","RoadVES",1950,"19-May-17","","52.8","","","N","Y","Y","","","F","","NO",1038
"1039","RoadVES",1696,"17-May-17","","52.9","","","N","DY","Y","","","F","","NO",1039
"1040","RoadVES",1627,"17-May-17","","53.1","","","N","DY","Y","","","F","","NO",1040
"1041","RoadVES",1693,"17-May-17","","53.1","","","N","DY","Y","","","F","","NO",1041
"1042","RoadVES",1759,"18-May-17","","53.1","","","N","DY","Y","","","F","","NO",1042
"1043","RoadVES",421,"22-Apr-16","4118460","53.2","18.4","L.L.","N","DY","Y","","","F","","NO",1043
"1044","RoadVES",1617,"17-May-17","","53.2","","","N","DY","Y","","","F","","NO",1044
"1045","RoadVES",1688,"17-May-17","","53.2","","","N","DY","Y","","","F","","NO",1045
"1046","RoadVES",1760,"18-May-17","","53.3","","","N","DY","Y","","","F","","NO",1046
"1047","RoadVES",1555,"16-May-17","","53.4","","","N","DY","Y","","","F","","NO",1047
"1048","RoadVES",2069,"19-May-17","","53.6","","","N","GY","Y","","","F","","NO",1048
"1049","RoadVES",2197,"20-May-17","","53.6","","","N","DY","Y","","","F","","NO",1049
"1050","RoadVES",879,"21-Jun-16","4118580","53.7","-","L.L.","N","DY","Y","","","F","","NO",1050
"1051","RoadVES",894,"1-Jul-16","4118810","53.7","-","L.L.","N","DY","Y","","","F","","NO",1051
"1052","RoadVES",1055,"11-May-17","","53.8","","","N","DY","Y","","","F","","NO",1052
"1053","RoadVES",1657,"18-May-17","","53.8","","","N","DY","Y","","","F","","NO",1053
"1054","RoadVES",964,"20-Jul-16","4119769","53.9","-","L.L.","N","GY","Y","","","F","","NO",1054
"1055","RoadVES",1077,"11-May-17","","54","","","N","DY","Y","","","F","","NO",1055
"1056","RoadVES",1659,"18-May-17","","54","","","N","GY","Y","","","F","","NO",1056
"1057","RoadVES",1668,"18-May-17","","54","","","N","Y","Y","","","F","","NO",1057
"1058","RoadVES",427,"22-Apr-16","4118460","54.1","-","L.L.","N","DY","Y","","","F","","NO",1058
"1059","RoadVES",730,"11-May-16","4118567","54.1","-","L.L.","N","Y","Y","","","F","","NO",1059
"1060","RoadVES",1905,"18-May-17","","54.3","","","N","GY","Y","","","F","","NO",1060
"1061","RoadVES",1633,"17-May-17","","54.4","","","N","Y","Y","","","F","","NO",1061
"1062","RoadVES",1952,"19-May-17","","54.4","","","N","DY","Y","","","F","","NO",1062
"1063","RoadVES",1101,"11-May-17","","54.5","","","N","DY","Y","","","F","","NO",1063
"1064","RoadVES",1396,"15-May-17","","54.5","","","N","GY","Y","","","F","","NO",1064
"1065","RoadVES",1624,"17-May-17","","54.6","","","N","DY","Y","","","F","","NO",1065
"1066","RoadVES",556,"28-Apr-16","4118404","54.7","-","L.L.","N","GY","Y","","","F","","NO",1066
"1067","RoadVES",1612,"17-May-17","","55.5","","","N","DY","Y","","","F","","NO",1067
"1068","RoadVES",474,"27-Apr-16","4118404","55.7","-","L.L.","N","DY","Y","","","F","","NO",1068
"1069","RoadVES",888,"1-Jul-16","4118810","55.7","-","L.L.","N","DY","Y","","","F","","NO",1069
"1070","RoadVES",994,"19-Aug-16","","55.7","-","L.L.","N","DY","Y","","","F","","NO",1070
"1071","RoadVES",1246,"14-May-17","","55.8","","","N","GY","Y","","","F","","NO",1071
"1072","RoadVES",488,"27-Apr-16","4118404","56.2","22","L.L.","N","DY","Y","","","F","","NO",1072
"1073","RoadVES",2192,"20-May-17","","56.2","","","N","GY","Y","","","F","","NO",1073
"1074","RoadVES",728,"11-May-16","4118567","56.4","-","L.L.","N","Y","Y","","","F","","NO",1074
"1075","RoadVES",2131,"19-May-17","","56.4","","","N","DY","Y","","","F","","NO",1075
"1076","RoadVES",1403,"15-May-17","","56.5","","","N","DY","Y","","","F","","NO",1076
"1077","RoadVES",1117,"11-May-17","","56.6","","","N","DY","Y","","","F","","NO",1077
"1078","RoadVES",1926,"19-May-17","","56.6","","","N","DY","Y","","","F","","NO",1078
"1079","RoadVES",1997,"19-May-17","","56.9","","","N","Y","Y","","","F","","NO",1079
"1080","RoadVES",426,"22-Apr-16","4118460","57.3","-","L.L.","N","DY","Y","","","F","","NO",1080
"1081","RoadVES",1412,"15-May-17","","57.6","","","N","Y","Y","","","F","","NO",1081
"1082","RoadVES",1670,"18-May-17","","57.7","","","N","DY","Y","","","F","","NO",1082
"1083","RoadVES",627,"9-May-16","4118457","58.1","26.5","L.L.","N","Y","Y","","","F","","NO",1083
"1084","RoadVES",1014,"19-Aug-16","","58.2","-","L.L.","N","DY","Y","","","F","","NO",1084
"1085","RoadVES",1214,"14-May-17","","58.3","","","N","DY","Y","","","F","","NO",1085
"1086","RoadVES",1502,"17-May-17","","59","","","N","DY","Y","","","F","","NO",1086
"1087","RoadVES",1400,"15-May-17","","59.5","","","N","DY","Y","","","F","","NO",1087
"1088","RoadVES",482,"27-Apr-16","4118404","59.9","22","L.L.","N","DY","Y","","","F","","NO",1088
"1089","RoadVES",1428,"16-May-17","","60.8","","","N","DY","Y","","","F","","NO",1089
"1090","RoadVES",1732,"17-May-17","","60.8","","","N","DY","Y","","","F","","NO",1090
"1091","RoadVES",1648,"18-May-17","","60.9","","","N","GY","Y","","","F","","NO",1091
"1092","RoadVES",1205,"14-May-17","","61.8","","","N","Y","Y","","","F","","NO",1092
"1093","RoadVES",1208,"14-May-17","","61.9","","","N","Y","Y","","","F","","NO",1093
"1094","RoadVES",449,"23-Apr-16","4118460","62.7","-","L.L.","N","YG","Y","","","F","","NO",1094
"1095","RoadVES",1953,"19-May-17","","62.8","","","N","Y","Y","","","F","","NO",1095
"1096","RoadVES",973,"20-Jul-16","4119769","63.7","-","L.L.","N","Y","Y","","","F","","NO",1096
"1097","RoadVES",1375,"14-May-17","","","","","N","GY","Y","","","F","","NO",1097
"1098","RoadVES",1376,"14-May-17","","","","","N","DY","Y","","","F","","NO",1098
"1099","RoadVES",1381,"15-May-17","","","","","N","GY","Y","","","F","","NO",1099
"1100","RoadVES",291,"4/19/16","4121428","27.6","-","leaf litter","Y","G","DC","","","M","","NO",1100
"1101","RoadVES",296,"4/19/16","4121428","31.4","-","leaf litter","Y","G","DC","","","M","","NO",1101
"1102","RoadVES",1339,"14-May-17","","39","","","FAINT","DY","N","","","M","","NO",1102
"1103","RoadVES",374,"22-Apr-16","4118460","39.8","-","L.L.","FAINT","DY","N","","","M","","NO",1103
"1104","RoadVES",945,"11-Jul-16","-","40.7","9.7","L.L.","Y","Y","N","","","M","","NO",1104
"1105","RoadVES",1327,"14-May-17","","41.5","","","FAINT","DY","N","","","M","","NO",1105
"1106","RoadVES",1425,"16-May-17","","42","","","FAINT","DY","N","","","M","","NO",1106
"1107","RoadVES",1445,"16-May-17","","42","","","FAINT","Y","N","","","M","","NO",1107
"1108","RoadVES",361,"22-Apr-16","4118460","42.2","-","L.L.","FAINT","DY","N","","","M","","NO",1108
"1109","RoadVES",1836,"18-May-17","","42.6","","","Y","DY","N","","","M","","NO",1109
"1110","RoadVES",934,"11-Jul-16","-","42.8","","L.L.","Y","GY","N","","","M","","NO",1110
"1111","RoadVES",2014,"19-May-17","","42.8","","","Y","Y","N","","","M","","NO",1111
"1112","RoadVES",1582,"17-May-17","","42.9","","","Y","Y","N","","","M","","NO",1112
"1113","RoadVES",423,"22-Apr-16","4118460","43","-","L.L.","Y","DY","N","","","M","","NO",1113
"1114","RoadVES",923,"11-Jul-16","-","43","-","L.L.","Y","DY","N","","","M","","NO",1114
"1115","RoadVES",852,"21-Jun-16","4118580","43.1","-","L.L.","Y","Y","N","","","M","","NO",1115
"1116","RoadVES",1758,"18-May-17","","43.1","","","Y","Y","N","","","M","","NO",1116
"1117","RoadVES",916,"11-Jul-16","-","43.2","-","L.L.","FAINT","DY","N","","","M","","NO",1117
"1118","RoadVES",1461,"16-May-17","","43.2","","","Y","GY","N","","","M","","NO",1118
"1119","RoadVES",1865,"18-May-17","","43.3","","","Y","DY","N","","","M","","NO",1119
"1120","RoadVES",2081,"19-May-17","","43.3","","","Y","Y","N","","","M","","NO",1120
"1121","RoadVES",1550,"16-May-17","","43.4","","","Y","Y","N","","","M","","NO",1121
"1122","RoadVES",1708,"17-May-17","","43.4","","","FAINT","DY","N","","","M","","NO",1122
"1123","RoadVES",1579,"17-May-17","","43.6","","","Y","Y","N","","","M","","NO",1123
"1124","RoadVES",983,"19-Aug-16","","43.8","-","L.L.","Y","DY","N","","","M","","NO",1124
"1125","RoadVES",1009,"19-Aug-16","","44","-","L.L.","FAINT","DY","N","","","M","","NO",1125
"1126","RoadVES",1004,"19-Aug-16","","44","-","L.L.","FAINT","DY","N","","","M","","NO",1126
"1127","RoadVES",899,"11-Jul-16","-","44","-","L.L.","Y","Y","N","","","M","","NO",1127
"1128","RoadVES",912,"11-Jul-16","-","44.2","-","L.L.","Y","Y","N","","","M","","NO",1128
"1129","RoadVES",1192,"12-May-17","","44.2","","","Y","DY","N","","","M","","NO",1129
"1130","RoadVES",1197,"14-May-17","","44.2","","","Y","Y","N","","","M","","NO",1130
"1131","RoadVES",823,"23-May-16","-","44.3","-","L.L.","Y","Y","N","","","M","","NO",1131
"1132","RoadVES",1139,"11-May-17","","44.3","","","Y","DY","N","","","M","","NO",1132
"1133","RoadVES",1856,"18-May-17","","44.3","","","Y","Y","N","","","M","","NO",1133
"1134","RoadVES",1916,"19-May-17","","44.3","","","Y","Y","N","","","M","","NO",1134
"1135","RoadVES",723,"10-May-16","4118457","44.4","8.4","L.L.","Y","DY","N","","","M","","NO",1135
"1136","RoadVES",1844,"18-May-17","","44.4","","","Y","Y","N","","","M","","NO",1136
"1137","RoadVES",919,"11-Jul-16","-","44.5","-","L.L.","Y","DY","N","","","M","","NO",1137
"1138","RoadVES",935,"11-Jul-16","-","44.5","13.6","L.L.","Y","GY","N","","","M","","NO",1138
"1139","RoadVES",1766,"18-May-17","","44.5","","","Y","Y","N","","","M","","NO",1139
"1140","RoadVES",1829,"18-May-17","","44.5","","","Y","DY","N","","","M","","NO",1140
"1141","RoadVES",1995,"19-May-17","","44.5","","","Y","DY","N","","","M","","NO",1141
"1142","RoadVES",974,"20-Jul-16","4119769","44.7","-","L.L.","FAINT","GY","N","","","M","","NO",1142
"1143","RoadVES",996,"19-Aug-16","","44.7","-","L.L.","Y","DY","N","","","M","","NO",1143
"1144","RoadVES",1068,"11-May-17","","44.7","","","Y","GY","N","","","M","","NO",1144
"1145","RoadVES",378,"22-Apr-16","4118460","44.8","-","L.L.","Y","Y","N","","","M","","NO",1145
"1146","RoadVES",1415,"15-May-17","","44.8","","","Y","Y","N","","","M","","NO",1146
"1147","RoadVES",1166,"11-May-17","","44.9","","","FAINT","DY","N","","","M","","NO",1147
"1148","RoadVES",1005,"19-Aug-16","","44.9","-","L.L.","Y","DY","N","","","M","","NO",1148
"1149","RoadVES",544,"28-Apr-16","4118404","45","-","L.L.","Y","Y","N","","","M","","NO",1149
"1150","RoadVES",1306,"14-May-17","","45","","","Y","Y","N","","","M","","NO",1150
"1151","RoadVES",1709,"17-May-17","","45","","","Y","Y","N","","","M","","NO",1151
"1152","RoadVES",958,"20-Jul-16","4119769","45.1","-","L.L.","FAINT","DY","N","","","M","","NO",1152
"1153","RoadVES",637,"9-May-16","4118457","45.1","11.9","L.L.","Y","Y","N","","","M","","NO",1153
"1154","RoadVES",1722,"17-May-17","","45.1","","","Y","Y","N","","","M","","NO",1154
"1155","RoadVES",991,"19-Aug-16","","45.2","-","L.L.","FAINT","DY","N","","","M","","NO",1155
"1156","RoadVES",997,"19-Aug-16","","45.2","-","L.L.","FAINT","DY","N","","","M","","NO",1156
"1157","RoadVES",1352,"14-May-17","","45.2","","","Y","Y","N","","","M","","NO",1157
"1158","RoadVES",1888,"18-May-17","","45.2","","","Y","Y","N","","","M","","NO",1158
"1159","RoadVES",2009,"19-May-17","","45.2","","","Y","Y","N","","","M","","NO",1159
"1160","RoadVES",1541,"16-May-17","","45.3","","","Y","Y","N","","","M","","NO",1160
"1161","RoadVES",1847,"18-May-17","","45.3","","","Y","Y","N","","","M","","NO",1161
"1162","RoadVES",1887,"18-May-17","","45.3","","","Y","Y","N","","","M","","NO",1162
"1163","RoadVES",478,"27-Apr-16","4118404","45.4","-","L.L.","Y","Y","N","","","M","","NO",1163
"1164","RoadVES",498,"28-Apr-16","4118404","45.4","9","L.L.","Y","Y","N","","","M","","NO",1164
"1165","RoadVES",665,"10-May-16","4118457","45.4","11.7","L.L.","Y","Y","N","","","M","","NO",1165
"1166","RoadVES",855,"21-Jun-16","4118580","45.4","-","L.L.","Y","DY","N","","","M","","NO",1166
"1167","RoadVES",471,"27-Apr-16","4118404","45.5","11.2","L.L.","Y","DY","N","","","M","","NO",1167
"1168","RoadVES",1224,"14-May-17","","45.5","","","Y","Y","N","","","M","","NO",1168
"1169","RoadVES",1326,"14-May-17","","45.5","","","Y","Y","N","","","M","","NO",1169
"1170","RoadVES",1940,"19-May-17","","45.6","","","FAINT","Y","N","","","M","","NO",1170
"1171","RoadVES",173,"4/18/16","4121428","45.7","-","leaf litter","Y","Y","DC","","","M","","NO",1171
"1172","RoadVES",909,"11-Jul-16","-","45.7","-","L.L.","Y","Y","N","","","M","","NO",1172
"1173","RoadVES",1089,"11-May-17","","45.7","","","Y","Y","N","","","M","","NO",1173
"1174","RoadVES",1769,"18-May-17","","45.7","","","Y","Y","N","","","M","","NO",1174
"1175","RoadVES",1770,"18-May-17","","45.7","","","Y","Y","N","","","M","","NO",1175
"1176","RoadVES",1001,"19-Aug-16","","45.8","-","L.L.","FAINT","DY","N","","","M","","NO",1176
"1177","RoadVES",753,"11-May-16","4118567","45.8","-","L.L.","Y","Y","N","","","M","","NO",1177
"1178","RoadVES",1088,"11-May-17","","45.8","","","FAINT","DY","N","","","M","","NO",1178
"1179","RoadVES",1418,"15-May-17","","45.8","","","Y","Y","N","","","M","","NO",1179
"1180","RoadVES",1399,"15-May-17","","45.9","","","Y","Y","N","","","M","","NO",1180
"1181","RoadVES",1891,"18-May-17","","45.9","","","Y","Y","N","","","M","","NO",1181
"1182","RoadVES",131,"4/12/16","4119851","46","-","leaf litter","Y","Y","DC","","","M","","NO",1182
"1183","RoadVES",873,"21-Jun-16","4118580","46","-","L.L.","Y","DY","N","","","M","","NO",1183
"1184","RoadVES",2085,"19-May-17","","46.1","","","Y","DY","N","","","M","","NO",1184
"1185","RoadVES",532,"28-Apr-16","4118404","46.2","-","L.L.","Y","Y","N","","","M","","NO",1185
"1186","RoadVES",1322,"14-May-17","","46.2","","","Y","GY","N","","","M","","NO",1186
"1187","RoadVES",1972,"19-May-17","","46.2","","","Y","Y","N","","","M","","NO",1187
"1188","RoadVES",1802,"18-May-17","","46.3","","","Y","Y","N","","","M","","NO",1188
"1189","RoadVES",1078,"11-May-17","","46.4","","","Y","DY","N","","","M","","NO",1189
"1190","RoadVES",2160,"19-May-17","","46.4","","","FAINT","DY","N","","","M","","NO",1190
"1191","RoadVES",874,"21-Jun-16","4118580","46.5","-","L.L.","Y","DY","N","","","M","","NO",1191
"1192","RoadVES",976,"20-Jul-16","4119769","46.5","-","L.L.","Y","DY","N","","","M","","NO",1192
"1193","RoadVES",985,"19-Aug-16","","46.5","-","L.L.","Y","DY","N","","","M","","NO",1193
"1194","RoadVES",998,"19-Aug-16","","46.5","-","L.L.","Y","DY","N","","","M","","NO",1194
"1195","RoadVES",1570,"16-May-17","","46.5","","","Y","Y","N","","","M","","NO",1195
"1196","RoadVES",1573,"17-May-17","","46.5","","","Y","Y","N","","","M","","NO",1196
"1197","RoadVES",1605,"17-May-17","","46.5","","","FAINT","Y","N","","","M","","NO",1197
"1198","RoadVES",798,"14-May-16","","46.6","-","L.L.","Y","DY","N","","","M","","NO",1198
"1199","RoadVES",1420,"15-May-17","","46.6","","","Y","Y","N","","","M","","NO",1199
"1200","RoadVES",1530,"16-May-17","","46.6","","","Y","Y","N","","","M","","NO",1200
"1201","RoadVES",1690,"17-May-17","","46.6","","","Y","Y","N","","","M","","NO",1201
"1202","RoadVES",2090,"19-May-17","","46.6","","","FAINT","DY","N","","","M","","NO",1202
"1203","RoadVES",1544,"16-May-17","","46.7","","","Y","Y","N","","","M","","NO",1203
"1204","RoadVES",1689,"17-May-17","","46.7","","","Y","Y","N","","","M","","NO",1204
"1205","RoadVES",1977,"19-May-17","","46.7","","","Y","Y","N","","","M","","NO",1205
"1206","RoadVES",854,"21-Jun-16","4118580","46.8","-","L.L.","Y","Y","N","","","M","","NO",1206
"1207","RoadVES",1155,"11-May-17","","46.8","","","Y","DY","N","","","M","","NO",1207
"1208","RoadVES",2215,"20-May-17","","46.8","","","Y","Y","N","","","M","","NO",1208
"1209","RoadVES",1401,"15-May-17","","46.8","","","FAINT","Y","N","","","M","","NO",1209
"1210","RoadVES",995,"19-Aug-16","","46.9","-","L.L.","Y","DY","N","","","M","","NO",1210
"1211","RoadVES",1050,"11-May-17","","46.9","","","Y","DY","N","","","M","","NO",1211
"1212","RoadVES",1408,"15-May-17","","46.9","","","Y","DY","N","","","M","","NO",1212
"1213","RoadVES",1988,"19-May-17","","47","","","Y","Y","N","","","M","","NO",1213
"1214","RoadVES",481,"27-Apr-16","4118404","47.1","-","L.L.","Y","Y","N","","","M","","NO",1214
"1215","RoadVES",1434,"16-May-17","","47.1","","","Y","Y","N","","","M","","NO",1215
"1216","RoadVES",1825,"18-May-17","","47.1","","","Y","Y","N","","","M","","NO",1216
"1217","RoadVES",222,"4/19/16","4121428","47.2","-","leaf litter","Y","Y","DC","","","M","","NO",1217
"1218","RoadVES",1022,"21-Aug-16","4120677","47.2","-","L.L.","FAINT","DY","N","","","M","","NO",1218
"1219","RoadVES",588,"9-May-16","4118457","47.2","13.3","L.L.","Y","Y","N","","","M","","NO",1219
"1220","RoadVES",1157,"11-May-17","","47.2","","","Y","Y","N","","","M","","NO",1220
"1221","RoadVES",1691,"17-May-17","","47.2","","","Y","Y","N","","","M","","NO",1221
"1222","RoadVES",1955,"19-May-17","","47.2","","","Y","Y","N","","","M","","NO",1222
"1223","RoadVES",927,"11-Jul-16","-","47.3","-","L.L.","Y","DY","N","","","M","","NO",1223
"1224","RoadVES",1814,"18-May-17","","47.3","","","Y","Y","N","","","M","","NO",1224
"1225","RoadVES",645,"9-May-16","4118457","47.4","11.1","L.L.","Y","Y","N","","","M","","NO",1225
"1226","RoadVES",1752,"18-May-17","","47.4","","","Y","Y","N","","","M","","NO",1226
"1227","RoadVES",1834,"18-May-17","","47.4","","","Y","Y","N","","","M","","NO",1227
"1228","RoadVES",1903,"18-May-17","","47.4","","","Y","Y","N","","","M","","NO",1228
"1229","RoadVES",527,"28-Apr-16","4118404","47.5","-","L.L.","Y","Y","N","","","M","","NO",1229
"1230","RoadVES",941,"11-Jul-16","-","47.5","","L.L.","Y","GY","N","","","M","","NO",1230
"1231","RoadVES",1221,"14-May-17","","47.5","","","Y","Y","N","","","M","","NO",1231
"1232","RoadVES",1611,"17-May-17","","47.5","","","Y","Y","N","","","M","","NO",1232
"1233","RoadVES",1718,"17-May-17","","47.5","","","Y","DY","N","","","M","","NO",1233
"1234","RoadVES",1890,"18-May-17","","47.5","","","Y","Y","N","","","M","","NO",1234
"1235","RoadVES",2055,"19-May-17","","47.5","","","Y","Y","N","","","M","","NO",1235
"1236","RoadVES",1278,"14-May-17","","47.6","","","FAINT","Y","N","","","M","","NO",1236
"1237","RoadVES",1480,"16-May-17","","47.6","","","Y","Y","N","","","M","","NO",1237
"1238","RoadVES",1614,"17-May-17","","47.6","","","Y","Y","N","","","M","","NO",1238
"1239","RoadVES",1767,"18-May-17","","47.6","","","Y","Y","N","","","M","","NO",1239
"1240","RoadVES",2159,"19-May-17","","47.6","","","Y","DY","N","","","M","","NO",1240
