Index,Date,Date_num,Start_time,End_time,Observers,Scribe,Xcoord,Ycoord,Ground_Temp (C),Ambient_Temp (C),RH (%),Wind (km/h),Soil_pH,Soil_Hum (%),Rain,Plot_ID_Full,Plot_ID,Survey_Type,Survey_Number,Sheet_ID,No.,Recap,SVL(mm),GPS_Waypoint,Mass (g),Burrow(Y/N),Burrow_Depth,Microhabitat,Pads,Color,Eggs,STAGE,Unique_ID,Final_PITtag_Toeclip,Toeclip,Old_wrong,Body Condition,Ycoord,Xcoord,Comments,Outside Plot,Captured_only_once,Matured_during_study,Underground,QC
404,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,5,R,28.4,,Peed,N,,L.L.,N,GY,N,SNBA,ID-982000406255076,9.82E+14,GOOSELEY-1000,,OK,4120483,365739,,N,N,N,N,
385,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,8,N,28.9,,2.1,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0021,GOOSELEY-0021,GOOSELEY-0021,,OK,4120488,365733,,N,Y,N,N,
166,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,8,N,29,#320/8,,N,,L.L.,N,G,N,SNBA,ID-FTOWN-0004,FTOWN-0004,FTOWN-0004,,OK,4121466,363236,PERI,Y,Y,N,N,
414,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,2,N,29.2,,,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-0012,GOOSELEY-0012,GOOSELEY-0012,,OK,4120491,365720,,N,Y,N,N,
405,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,6,N,29.4,,Peed,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-3000,GOOSELEY-3000,GOOSELEY-3000,,OK,4120503,365728,,N,Y,N,N,
413,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,1,N,29.4,,,N,,L.L.,N,G,N,SNBA,ID-GOOSELEY-4000,GOOSELEY-4000,GOOSELEY-4000,,OK,4120487,365745,,N,Y,N,N,
402,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,3,N,29.5,,Peed,N,,L.L.,N,GY,N,SNBA,ID-GOOSELEY-2000,GOOSELEY-2000,GOOSELEY-2000,,OK,4120503,365736,,N,Y,N,N,
121,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,9,N,29.6,,2.4,N,,L.L.,N,G,N,SNBA,ID-FTOWN-0005,FTOWN-0005,FTOWN-0005,,OK,-,-,,N,Y,N,N,
422,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,10,R,29.7,,,N,,L.L.,N,G,N,SNBA,ID-982000406255080,9.82E+14,GOOSELEY-0300,,OK,4120496,365743,,N,N,N,N,
428,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,2,N,29.8,,,N,,L.L.,N,GY,N,SNBA,ID-GOOSELEY-0014,GOOSELEY-0014,GOOSELEY-0014,,OK,4120485,365735,,N,Y,N,N,
49,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,26,N,29.9,#473/5,,N,,L.L.,N,G,N,SNBA,ID-982000406255056,9.82E+14,,,OK,4118993,367369,,N,N,N,N,
30,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,7,N,30.2,#464/5,,N,,L.L.,N,G,N,SNBA,ID-982000363614639,9.82E+14,,,OK,#NAME?,367368,,N,N,N,N,
284,18-Jul-16,20160718,21:46,23:38,"ADS, JF, FW","HM, ADS",,,24.6,26.1,96,0,5.7,60,No,B; Ftown Loop,B,Plot,6,SS-18-Jul-2016-01,10,R,30.3,,,N,,L.L.,N,DY,N,SNBA,ID-982000406563167,9.82E+14,,,OK,4121468,363224,,N,N,N,N,
406,11-Jun-16,20160611,23:09,,"KN, JF",ADS,,,25.9,26.4,78.3,,5.8,50,No,C; Gooseley,C,Plot,4,SS-11-JUN-2016-01,7,R,30.4,,Peed,N,,L.L.,N,GY,N,SNBA,ID-GOOSELEY-0002,GOOSELEY-0002,GOOSELEY-0002,,OK,4120489,365731,,N,N,N,N,
432,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,6,N,30.6,,,N,,L.L.,N,G,N,SNBA,ID-982000406255066,9.82E+14,,,OK,4120507,365732,,N,N,N,N,
61,3-Jul-16,20160703,21:45,23:57,"ADS, JF",KN,,,21.5,22.1,90.4,0,6.4,60,No,A; Etour,A,Plot,5,SS-03-JUL-2016-01,11,R,30.8,,,N,,L.L.,N,G,N,SNBA,ID-982000406255056,9.82E+14,,,OK,4118987,367370,,N,N,N,N,
434,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,8,R,30.8,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255096,9.82E+14,GOOSELEY-0004,,OK,4120497,365736,Previously toe clipped: 0004,N,N,N,N,
439,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,13,R,31.5,,,N,,L.L.,N,G,N,SNBA,ID-982000406255080,9.82E+14,GOOSELEY-0300,,OK,4120495,365739,Previously toe clipped: 0300,N,N,N,N,
438,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,12,N,31.6,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255054,9.82E+14,,,OK,4120503,365735,,N,N,N,N,
195,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,10,N,31.8,,,N,,L.L.,N,G,N,SNBA,ID-982000406563166,9.82E+14,,,OK,4121491,363222,,N,N,N,N,
154,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,24,N,31.9,,2.6,N,,L.L.,N,G,N,SNBA,ID-982000406255144,9.82E+14,,,OK,4121466,363197,PERI,Y,Y,N,N,
430,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,4,R,31.9,,,N,,L.L.,N,G,N,SNBA,ID-982000406255135,9.82E+14,GOOSELEY-0400,,OK,4120501,365730,Previously toe clipped: 0400,N,N,N,N,
427,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,1,N,32,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255093,9.82E+14,,,OK,4120494,365730,,N,N,N,N,
424,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,12,R,32.2,,,N,,L,N,G,N,SNBA,ID-982000406255135,9.82E+14,GOOSELEY-0400,,OK,4120498,365742,,N,N,N,N,
24,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,1,N,32.3,#470/5,,N,,L.L.,N,GY,N,SNBA,ID-982000406255106,9.82E+14,,,OK,4118985,367362,,N,N,N,N,
165,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,7,N,32.3,#317/8,,N,,L.L.,N,GY,N,SNBA,ID-982000406562572,9.82E+14,,,OK,4121473,363218,PERI,Y,Y,N,N,
170,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,12,N,32.3,,,N,,L.L.,N,G,N,SNBA,ID-982000406562616,9.82E+14,,,OK,-,-,"Unable to locate flag, data struck out on sheet",N,N,N,N,
7,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,7,N,32.6,#104/5,3.5,N,,L.L.,N,G,N,SNBA,ID-982000406255163,9.82E+14,,,OK,4119001,367358,,N,Y,N,N,
436,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,10,N,32.8,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255089,9.82E+14,,,OK,4120500,365735,,N,N,N,N,
418,5-Jul-16,20160705,23:42,,"KN, ADS","HM, ADS",,,25.7,25,98.5,0,6.1,55,No,C; Gooseley,C,Plot,5,SS-05-JUL-2016-02,6,R,33,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255169,9.82E+14,GOOSELEY-0020,,OK,4120504,365729,,N,N,N,N,
465,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,5,N,33,#364/5,6.3,N,,L.L.,N,GY,N,SNBA,ID-982000406562698,9.82E+14,,,OK,4118396,365775,Peed,N,N,N,N,
429,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,3,R,33.2,,,N,,L.L.,N,G,N,SNBA,ID-982000406255169,9.82E+14,GOOSELEY-0020,,OK,4120494,365730,Previously toe clipped: 0020,N,N,N,N,
117,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,5,N,33.9,,3.6,N,,L.L.,N,G,N,SNBA,ID-982000406255160,9.82E+14,,,OK,-,-,,N,Y,N,N,
9,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,9,N,34,#109/5,3.7,,,L.L.,N,G,N,SNBA,ID-982000406255145,9.82E+14,,,OK,4118980,367382,,N,N,N,N,
177,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,19,N,34,#313/8,,N,,L.L.,N,G,N,SNBA,ID-982000406562876,9.82E+14,,,OK,4121479,363227,,N,N,N,N,
289,18-Jul-16,20160718,21:46,23:38,"ADS, JF, FW","HM, ADS",,,24.6,26.1,96,0,5.7,60,No,B; Ftown Loop,B,Plot,6,SS-18-Jul-2016-01,15,N,34,,,N,,L.L.,N,DY,N,SNBA,ID-982000406255192,9.82E+14,,,OK,4121479,363211,,N,Y,N,N,
435,21-Jul-16,20160721,23:19,1:05,"ADS, JF, FW","HM, ADS",,,23.9,22.6,93,0,6.2,50,No,C; Gooseley,C,Plot,6,SS-21-JUL-2016-02,9,R,34,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255076,9.82E+14,GOOSELEY-1000,,OK,4120486,365743,Previously toe clipped: 1000,N,N,N,N,
81,21-Jul-16,20160721,21:09,23:00,"ADS, JF, FW","HM, ADS",,,25.8,25.3,85.7,0,6.1,53,No,A; Etour,A,Plot,6,SS-21-JUL-2016-01,9,N,34.2,,,N,,L.L.,N,G,N,SNBA,ID-982000406255171,9.82E+14,,,OK,4118984,367358,,N,Y,N,N,
125,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,13,N,34.3,,4.4,N,,L.L.,N,G,N,SNBA,ID-982000406255137,9.82E+14,,,OK,-,-,,N,N,N,N,
174,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,16,N,34.4,#315/8,,N,,L.L.,N,G,N,SNBA,ID-982000406562826,9.82E+14,,,OK,4121499,363222,,N,N,N,N,
119,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,7,N,34.5,,4.8,N,,L.L.,N,G,N,SNBA,ID-982000406255186,9.82E+14,,,OK,-,-,,N,N,N,N,
140,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,10,N,34.5,,5.1,N,,L.L.,N,G,N,SNBA,ID-982000406562634,9.82E+14,,,OK,4121478,363219,,N,N,N,N,
160,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,2,N,34.8,#317/8,,N,,L.L.,N,G,N,SNBA,ID-982000406562534,9.82E+14,,,OK,4121473,363218,,N,Y,N,N,
10,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,10,N,34.9,#106/5,4.1,N,,L.L.,N,GY,N,SNBA,ID-982000406255147,9.82E+14,,,OK,4118974,367369,,N,N,N,N,
168,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,10,N,35.1,#309/8,,N,,L.L.,N,G,N,SNBA,ID-982000406562581,9.82E+14,,,OK,4121499,363230,PERI,Y,Y,N,N,
179,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,21,N,35.1,#310/8,,Y,,L.L.,N,GY,N,SNBA,ID-982000406562830,9.82E+14,,,OK,4121488,363210,PERI,Y,N,N,N,
285,18-Jul-16,20160718,21:46,23:38,"ADS, JF, FW","HM, ADS",,,24.6,26.1,96,0,5.7,60,No,B; Ftown Loop,B,Plot,6,SS-18-Jul-2016-01,11,R,35.1,,,N,,L.L.,N,GY,N,SNBA,ID-982000406563134,9.82E+14,,,OK,4121469,363227,,N,N,N,N,
40,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,17,R,35.2,#468/5,,N,,L.L.,N,GY,N,SNBA,ID-982000406255147,9.82E+14,,,OK,4118974,367363,,N,N,N,N,
263,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,41,N,35.3,,,N,,L.L.,N,G,N,SNBA,ID-982000406563049,9.82E+14,,,OK,4121489,363235,,N,Y,N,N,
181,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,23,R,35.4,#316/8,,N,,L.L.,N,GY,N,SNBA,ID-982000406255180,9.82E+14,,,OK,4121475,363208,,N,N,N,N,
163,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,5,N,35.5,#319/8,,N,,L.L.,N,GY,N,SNBA,ID-982000406562611,9.82E+14,,,OK,4121476,363223,,N,N,N,N,
150,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,20,N,35.7,,3.9,N,,L.L.,N,GY,N,SNBA,ID-982000406562672,9.82E+14,,,OK,4121490,363225,PERI,Y,Y,N,N,
114,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,2,N,35.8,,4.4,N,,L.L.,N,G,N,SNBA,ID-982000406255142,9.82E+14,,,OK,-,-,,N,N,N,N,
173,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,15,N,35.8,#306/8,,N,,L.L.,N,G,N,SNBA,ID-982000406562566,9.82E+14,,,OK,4121493,363214,,N,Y,N,N,
367,25-Apr-16,20160425,23:50,1:15,"ADS, AO",AO,,,,17.9,,0.8,5.6,45,No,C; Gooseley,C,Plot,1,SS-25-APR-2016-02,1,N,35.8,#95/5,4.6,N,,L.L.,N,G,N,SNBA,ID-982000406255203,9.82E+14,,,OK,4120503,365735,,N,N,N,N,
162,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,4,N,36,#319/8,,N,,L.L.,N,GY,N,SNBA,ID-982000406562569,9.82E+14,,,OK,4121476,363223,,N,N,N,N,
254,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,32,N,36,,,N,,L.L.,N,G,N,SNBA,ID-982000406563134,9.82E+14,,,OK,4121480,363225,,N,N,N,N,
467,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,7,N,36,#353/5,8.8,N,,L.L.,N,G,N,SNBA,ID-982000406562644,9.82E+14,,,OK,4118378,365802,PERI; Peed,Y,Y,N,N,
463,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,3,N,36.1,#361/5,8,N,,L.L.,N,GY,N,SNBA,ID-982000406562669,9.82E+14,,,OK,4118379,365787,Peed,N,N,N,N,
157,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,27,N,36.4,,3.9,N,,L.L.,N,GY,N,SNBA,ID-982000406255180,9.82E+14,,,OK,4121467,363223,,N,N,N,N,
259,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,37,N,36.5,,,N,,L.L.,N,G,N,SNBA,ID-982000406563128,9.82E+14,,,OK,4121489,363226,,N,N,N,N,
389,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,12,N,36.5,,5.4,N,,L.L.,N,GY,N,SNBA,ID-982000406562645,9.82E+14,,,OK,4120499,365715,Peed,N,N,N,N,
471,13-May-16,20160513,22:30,0:50,"ADS, MRL",?,,,18.9,16.5,95.3,0,5.1,80,No,E; FT1,E,Plot,2,SS-13-MAY-2016-01,11,N,36.5,#360/5,7.8,N,,L.L.,N,GY,N,SNBA,ID-982000406562620,9.82E+14,,,OK,4118379,365789,Peed,N,N,N,N,
53,3-Jul-16,20160703,21:45,23:57,"ADS, JF",KN,,,21.5,22.1,90.4,0,6.4,60,No,A; Etour,A,Plot,5,SS-03-JUL-2016-01,3,N,36.6,,,N,,L.L.,N,DY,N,SNBA,ID-982000406563161,9.82E+14,,,Missing left foot,4118982,367367,,N,Y,N,N,
116,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,4,N,36.6,,5.4,N,,L.L.,N,G,N,SNBA,ID-982000406255117,9.82E+14,,,OK,-,-,,N,N,N,N,
229,6-Jul-16,20160706,22:00,1:00,"KN, ADS","HM, JF",,,24.8,24.2,100,0,6.2,49,Light,B; FTown Loop,B,Plot,5,SS-06-JUL-2016-01,7,N,36.6,,,N,,L.L.,N,GY,N,SNBA,ID-982000406563062,9.82E+14,,,OK,4121481,363219,,N,Y,N,N,
5,26-Apr-16,20160426,22:31,12:00,"AO, ADS","AO, ADS",,,,18.8,,,5.6,55,No,A; Etour,A,Plot,1,SS-26-APR-2016-02,5,N,36.7,#111/5,4.6,N,,L.L.,N,GY,N,SNBA,ID-982000406255126,9.82E+14,,,OK,4118994,367365,,N,N,N,N,
39,9-Jun-16,20160609,21:30,,"KN, JF",ADS,,,20.9,20.6,81,0,6,45,No,A; Etour,A,Plot,4,SS-09-Jun-2016-01,16,R,36.7,#463/5,,N,,L.L.,N,GY,N,SNBA,ID-982000406255145,9.82E+14,,,OK,4118973,367379,,N,N,N,N,
212,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,27,R,36.7,,,N,,L.L.,N,G,N,SNBA,ID-982000406562876,9.82E+14,,,OK,4121471,363227,,N,N,N,N,
193,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,8,N,36.9,,,N,,L.L.,N,GY,N,SNBA,ID-982000406563201,9.82E+14,,,OK,4121480,363214,,N,Y,N,N,
215,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,30,R,36.9,,,N,,L.L.,N,G,N,SNBA,ID-982000406562865,9.82E+14,,,OK,4121485,363219,,N,N,N,N,
128,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,16,N,37,,4.6,N,,L.L.,N,G,N,SNBA,ID-982000406255205,9.82E+14,,,OK,-,-,PERI,Y,Y,N,N,
216,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,31,R,37,,,N,,L.L.,N,G,N,SNBA,ID-982000406562826,9.82E+14,,,OK,4121482,363226,,N,N,N,N,
115,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,3,N,37.1,,5.8,N,,L.L.,N,G,N,SNBA,ID-982000406255125,9.82E+14,,,OK,-,-,,N,N,N,N,
139,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,9,N,37.1,,4.4,N,,L.L.,N,G,N,SNBA,ID-982000406562681,9.82E+14,,,OK,4121489,363215,PERI; Peed,Y,N,N,N,
180,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,22,R,37.1,#311/8,,N,,L.L.,N,GY,N,SNBA,ID-982000406562681,9.82E+14,,,OK,4121493,363207,PERI,Y,N,N,N,
205,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,20,N,37.1,,,N,,L.L.,N,DY,N,SNBA,ID-982000406563301,9.82E+14,,,OK,4121473,363220,,N,N,N,N,
206,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,21,N,37.1,,,N,,L.L.,N,GY,N,SNBA,ID-982000406563282,9.82E+14,,,OK,4121473,363220,,N,N,N,N,
127,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,15,N,37.2,,6.8,1/2 in burrow,,L.L.,N,G,N,SNBA,ID-982000406255204,9.82E+14,,,OK,-,-,PERI,Y,Y,N,N,
388,8-May-16,20160508,21:45,23:00,"ADS, MRL",?,,,15.1,13.6,86.2,0,6.3,60,No,C; Gooseley,C,Plot,2,SS-08-MAY-2016-01,11,N,37.2,,4.9,N,,L.L.,N,G,N,SNBA,ID-982000406562631,9.82E+14,,,OK,4120504,365729,PERI; Peed,Y,Y,N,N,
280,18-Jul-16,20160718,21:46,23:38,"ADS, JF, FW","HM, ADS",,,24.6,26.1,96,0,5.7,60,No,B; Ftown Loop,B,Plot,6,SS-18-Jul-2016-01,6,R,37.3,,,N,,L.L.,N,GY,N,SNBA,ID-982000406562611,9.82E+14,,,OK,4121469,363228,,N,N,N,N,
79,21-Jul-16,20160721,21:09,23:00,"ADS, JF, FW","HM, ADS",,,25.8,25.3,85.7,0,6.1,53,No,A; Etour,A,Plot,6,SS-21-JUL-2016-01,7,N,37.4,,,N,,L.L.,N,GY,N,SNBA,ID-982000406255189,9.82E+14,,,OK,4118995,367374,,N,Y,N,N,
143,7-May-16,20160507,21:39,22:04,"ADS, MRL, BN",?,,,13.8,13.1,94.7,0,6.6,30,No,B; FTown Loop,B,Plot,2,SS-07-MAY-2016-01,13,N,37.4,,4.9,N,,L.L.,N,GY,N,SNBA,ID-982000406562678,9.82E+14,,,OK,4121479,363206,PERI; Peed,Y,N,N,N,
130,25-Apr-16,20160425,20:40,23:15,"ADS, AO",AO,,,,,,,6.2,45,No,B; FTown Loop,B,Plot,1,SS-25-APR-16-01,18,N,37.5,,6.2,N,,L.L.,N,G,N,SNBA,ID-982000406255193,9.82E+14,,,OK,-,-,PERI,Y,Y,N,N,
182,21-May-16,20160521,21:20,22:26,"ADS, MRL",HW,,,16.8,15.4,94.8,0,6.4,55,,B; FTown Loop,B,Plot,3,SS-21-MAY-2016-01,24,R,37.5,#310/8,,Y,,L.L.,N,GY,N,SNBA,ID-982000406562678,9.82E+14,,,OK,4121488,363210,PERI,Y,N,N,N,
209,24-Jun-16,20160624,21:25,,"KN, JF",ADS,,,25.2,,92.3,,6,53,No,B; FTown Loop,B,Plot,4,SS-24-JUN-2016-01,24,R,37.5,,,N,,L.L.,N,DY,N,SNBA,ID-982000406255142,9.82E+14,,,OK,4121490,363230,,N,N,N,N,
