"Survey_type","Index","Date","Temp_C","X","Y","Plot_ID","Recap","SVL_mm","Mass_g","Pads","Eggs","Animal_ID","Body_condition","Matured_during_study","Stage"
"Transect",1256,20170616,NA,"367261","4118920","T18","N","45.5","Pee","N","Y","ID-900118001079102","okay","Y","F"
"Transect",1303,20170616,NA,"367335","4118916","T18","R","50","14.8","Y","N","ID-900118001082086","okay","Y","M"
"Transect",599,20170612,NA,"365041","4117858","T9","R","43.9","11.1","N","Y","ID-982000406562626","OK","Y","F"
"Transect",556,20160712,25.3,"365068","4117887","T9","R","52","12.7","Y","N","ID-982000406562813","OK","Y","M"
"Transect",595,20170612,NA,"365030","4117865","T9","R","50.5","17.3","N","Y","ID-982000406562677","OK","Y","F"
"Transect",298,20160724,33,"363846","4121210","T3","R","55","21","Y","N","ID-900118001080598","OK","Y","M"
"Transect",1225,20170701,NA,"367256","4118911","T18","R","51","13","N","N","ID-900118001079102","okay","Y","SNBA"
"Transect",1058,20160607,21.8,"367315","4118925","T18","N","42.5","7.6","N","N","ID-900118001080088","OK","Y","SNBA"
"Transect",1128,20160626,22.3,"367345","4118929","T18","R","43.7","8.8","N","N","ID-900118001080088","OK","Y","SNBA"
"Transect",1052,20160607,21.8,"367314","4118913","T18","N","47.5","8.4","N","N","ID-900118001080576","OK","Y","SNBA"
"Transect",237,20160613,22,"363842","4121203","T3","N","53.2","16.5","N","N","ID-900118001080598","OK","Y","SNBA"
"Transect",1051,20160607,21.8,"367309","4118934","T18","N","46.2","9.2","N","N","ID-900118001081143","OK","Y","SNBA"
"Transect",1060,20160607,21.8,"367317","4118927","T18","N","41","7.6","N","N","ID-900118001082086","OK","Y","SNBA"
"Transect",141,20160723,25.7,"363137","4121418","T0","N","47.6","10.7","N","N","ID-900118001082631","OK","Y","SNBA"
"Transect",1006,20160510,17.5,"367334","4118931","T18","N","38.1","4.9","N","N","ID-982000406255134","OK","Y","SNBA"
"Transect",433,20160525,21.7,"365075","4117913","T9","N","42","6.7","N","N","ID-982000406255151","OK","Y","SNBA"
"Transect",491,20160619,22,"365094","4117945","T9","N","42.8","Peed","N","N","ID-982000406255158","OK","Y","SNBA"
"Transect",998,20160510,17.5,"367317","4118907","T18","N","38.2","5.8","N","N","ID-982000406255196","OK","Y","SNBA"
"Transect",1118,20160626,22.3,"367305","4118907","T18","R","41.9","7.2","N","N","ID-982000406255196","OK","Y","SNBA"
"Transect",1122,20160626,22.3,"367291","4118911","T18","R","44.2","","N","N","ID-982000406255196","OK","Y","SNBA"
"Transect",1003,20160510,17.5,"367332","4118924","T18","N","39.5","7.6","N","N","ID-982000406255199","OK","Y","SNBA"
"Transect",731,20160612,27.2,"365054","4119700","T14","N","46.3","10.8","N","N","ID-982000406562613","OK","Y","SNBA"
"Transect",743,20160623,24.4,"365044","4119690","T14","R","48.1","13.6","N","N","ID-982000406562613","OK","Y","SNBA"
"Transect",377,20160428,NA,"365066","4117875","T9","N","36","5.2","N","N","ID-982000406562626","OK","Y","SNBA"
"Transect",387,20160428,NA,"365113","4117916","T9","N","43.1","7.1","N","N","ID-982000406562638","OK","Y","SNBA"
"Transect",374,20160428,NA,"365034","4117891","T9","N","40.4","6.6","N","N","ID-982000406562677","OK","Y","SNBA"
"Transect",372,20160428,NA,"365027","4117869","T9","N","41.7","6.5","N","N","ID-982000406562697","OK","Y","SNBA"
"Transect",222,20160604,22.8,"363818","4121197","T3","N","43.1","9.2","N","N","ID-982000406562745","OK","Y","SNBA"
"Transect",1027,20160607,21.8,"367261","4118899","T18","N","39.5","6","N","N","ID-982000406562794","OK","Y","SNBA"
"Transect",1069,20160618,21.6,"367264","4118890","T18","R","42","5.8","N","N","ID-982000406562794","OK","Y","SNBA"
"Transect",220,20160604,22.8,"363814","4121208","T3","N","44.3","9","N","N","ID-982000406562808","OK","Y","SNBA"
"Transect",429,20160525,21.7,"365076","4117887","T9","N","42.3","8.5","N","N","ID-982000406562813","OK","Y","SNBA"
"Transect",523,20160627,24.5,"365084","4117888","T9","R","44.1","11.6","N","N","ID-982000406562813","OK","Y","SNBA"
"Transect",1017,20160607,21.8,"367252","4118915","T18","N","39.2","6.8","N","N","ID-982000406562818","OK","Y","SNBA"
"Transect",397,20160525,21.7,"365011","4117896","T9","N","44.2","10.4","N","N","ID-982000406562836","OK","Y","SNBA"
"Transect",711,20160524,22.3,"365068","4119695","T14","N","44.6","11.4","N","N","ID-982000406562841","OK","Y","SNBA"
"Transect",989,20160510,17.5,"367308","4118907","T18","N","37.1","Peed","N","N","ID-982000406562856","OK","Y","SNBA"
"Transect",1035,20160607,21.8,"367288","4118887","T18","R","43.6","6.2","N","N","ID-982000406562856","OK","Y","SNBA"
"Transect",1114,20160626,22.3,"367313","4118911","T18","R","41.7","7.8","N","N","ID-982000406562856","OK","Y","SNBA"
"Transect",713,20160524,22.3,"365047","4119745","T14","N","45","9.3","N","N","ID-982000406562903","OK","Y","SNBA"
"Transect",741,20160623,24.4,"365062","4119741","T14","R","49.3","13","N","N","ID-982000406562903","OK","Y","SNBA"
"Transect",860,20160714,25.5,"365894","4119840","T15","N","39.3","9.1","N","N","ID-982000406563088","OK","Y","SNBA"
"Transect",276,20160709,25.9,"363829","4121185","T3","N","36.7","7.9","N","N","ID-982000406563090","OK","Y","SNBA"
"Transect",301,20160724,33,"363827","4121187","T3","R","37.2","7.6","N","N","ID-982000406563090","OK","Y","SNBA"
"Transect",64,20160628,24.6,"363129","4121423","T0","N","42.3","7","N","N","ID-982000406563133","OK","Y","SNBA"
"Transect",110,20160710,24.6,"363143","4121434","T0","R","43.7","8.1","N","N","ID-982000406563133","OK","Y","SNBA"
"Transect",471,20160619,22,"365068","4117883","T9","N","45","10.1","N","N","ID-982000406563160","OK","Y","SNBA"
"Transect",460,20160619,22,"365044","4117901","T9","N","38.9","Peed","N","N","ID-982000406563189","OK","Y","SNBA"
"Transect",518,20160627,24.5,"365045","4117905","T9","R","39.2","7.8","N","N","ID-982000406563189","OK","Y","SNBA"
"Transect",551,20160712,25.3,"365053","4117898","T9","R","42.7","8.2","N","N","ID-982000406563189","OK","Y","SNBA"
"Transect",243,20160625,21.6,"363795","4121223","T3","N","47.9","8.8","N","N","ID-982000406563192","OK","Y","SNBA"
"Transect",1123,20160626,22.3,"367303","4118923","T18","N","38.4","6.8","N","N","ID-982000406563219","OK","Y","SNBA"
"Transect",477,20160619,22,"365068","4117888","T9","N","44.9","10.5","N","N","ID-982000406563232","OK","Y","SNBA"
"Transect",259,20160709,25.9,"363836","4121218","T3","N","46.2","11.6","N","N","ID-982000406563279","OK","Y","SNBA"
"Transect",500,20160619,22,"365099","4117860","T9","N","41.6","Peed","N","N","ID-982000406563281","OK","Y","SNBA"
"Transect",1108,20160626,22.3,"367246","4118875","T18","N","47.6","10.6","N","N","ID-982000406563292","OK","Y","SNBA"
"Transect",485,20160619,22,"365070","4117890","T9","N","40.3","7.5","N","N","ID-982000406563298","OK","Y","SNBA"
"Transect",256,20160709,25.9,"363830","4121230","T3","N","46.1","9.7","N","N","ID-982000406563318","OK","Y","SNBA"
"Transect",1168,20170515,NA,"367263","4118920","T18","N","44.8","13.5","N","N","ID-982000407040798","","Y","SNBA"
"Transect",620,20170612,NA,"365085","4117920","T9","N","38.2","6.7","N","N","ID-982000407040812","OK","Y","SNBA"
