Master_No,No,Map_Datum ,Zone ,Units_coordinates,Method,Date,Observers,Location,Unit,Sheet_ID,No._on_sheet,Time,Species,,Adult/Egg/Larvae,Y,X,SVL(mm),Use_for_size,STAGE,Sex,Mass(g),Disposition,Microhabitat,Habitat_Type,Comments,Color,Pads,Eggs,No_of_Individuals,Age,Recap,Carapace_L,Plastron_L,Notch_Rear_Right,Notch_Rear_Left,Notch_Front_Right,Notch_Front_Left,Notch_Code
,112,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2030,SCHO,,,4121614,363125,37.3,,U,,,A,"grass, next to burrow",forest/field edge,"Point 361, gray, no pads, 3D6-001836F656 (20 APR; 20:31:45) - PIT - 255190",G,N,,1,,,,,,,,,
,114,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2130,SCHO,,,4121461,362867,,,U,,,-,-,-,,,,,1,,,,,,,,,
,115,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2130,SCHO,,,4121461,362867,,,U,,,-,-,-,,,,,1,,,,,,,,,
,116,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2130,SCHO,,,4121461,362867,,,U,,,-,-,-,,,,,1,,,,,,,,,
,117,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2131,SCHO,,,4121475,362851,34.9,,U,,,A,"leaf litter, next to burrow",field edge,"gray, no pads",G,N,,1,,,,,,,,,
,118,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2131,SCHO,,,4121475,362851,34.8,,U,,,A,leaf litter,field edge,"gray, no pads",G,N,,1,,,,,,,,,
,120,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2235,SCHO,,,4120165,367717,,,U,,,A,"leaf litter, road edge",forest,"gray, point 365",,,,1,,,,,,,,,
,122,NAD83  ,18N,UTM,INCIDENTAL,22-Apr-16,,,YT,IN-21-Apr-2016-01,,2131,SCHO,,,4118464,365323,,,U,,,A,leaf litter,forest,point 398,,,,1,,,,,,,,,
,123,NAD83  ,18N,UTM,INCIDENTAL,22-Apr-16,,,YT,IN-21-Apr-2016-01,,2221,SCHO,,,4118419,365479,37.7,,U,,,A,leaf litter,forest,"gray, no pads, point 413",G,N,,1,,,,,,,,,
,124,NAD83  ,18N,UTM,INCIDENTAL,22-Apr-16,,,YT,IN-21-Apr-2016-01,,2235,SCHO,,,4118396,365481,47,,U,,,A,leaf litter,forest,"gray, no pads",G,N,,1,,,,,,,,,
,141,NAD83  ,18N,UTM,INCIDENTAL,28-Apr-16,,,YT,IN-21-Apr-2016-01,,2113,SCHO,,,4117814,364852,,,U,,,A,leaf litter,forest,"gray-yellow, no pads, #155/5",GY,N,,1,,,,,,,,,
,142,NAD83  ,18N,UTM,INCIDENTAL,28-Apr-16,,,YT,IN-21-Apr-2016-01,,2119,SCHO,,,4117847,364866,,,U,,,A,leaf litter,forest,"gray, no pads, #155/5",G,N,,1,,,,,,,,,
,143,NAD83  ,18N,UTM,INCIDENTAL,28-Apr-16,,,YT,IN-21-Apr-2016-01,,2119,SCHO,,,4117847,364866,,,U,,,A,leaf litter,forest,"gray-yellow, no pads, #155/5",GY,N,,1,,,,,,,,,
,191,NAD83  ,18N,UTM,INCIDENTAL,16-Jul-16,,,YT,IN-18-May-2016-01,,2330,SCHO,,,4118608,365634,,,U,,,A,leaf litter,forest,pine stand CV9,,,,1,,,,,,,,,
,208,NAD83  ,18N,UTM,INCIDENTAL,20-Sep-16,,,YT,IN-20-Sep-2016-01,,2210,SCHO,,,4120121,364809,,,U,,,A,Road,,,,,,1,,,,,,,,,
,15,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,8,2029,SCHO,,Adult ,4119063,367399,,,U,,,Alive ,Forest,,10,,,,10,,,,,,,,,
,18,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,11,2029,SCHO,,Adult ,4118986,367347,,,U,,,Alive ,Forest,,25,,,,25,,,,,,,,,
,20,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,13,2052,SCHO,,Adult ,4118439,366365,,,U,,,Alive ,Forest,,11,,,,11,,,,,,,,,
,21,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,14,2058,SCHO,,Adult ,4118422,366033,,,U,,,Alive ,Forest,,6,,,,6,,,,,,,,,
,22,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,15,2105,SCHO,,Adult ,4118456,365661,,,U,,,Alive ,Forest,,5,,,,5,,,,,,,,,
,23,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,16,2107,SCHO,,Adult ,4118437,365422,,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,26,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,19,2114,SCHO,,Adult ,4118455,364911,42,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,30,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,23,2137,SCHO,,Adult ,4118455,364911,27,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,31,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,24,2139,SCHO,,Adult ,4118455,364911,34,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,32,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,25,2139,SCHO,,Adult ,4118455,364911,39,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,33,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,26,2139,SCHO,,Adult ,4118455,364911,32,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,34,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,27,2140,SCHO,,Adult ,4118455,364911,28,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,35,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,28,2140,SCHO,,Adult ,4118455,364911,33,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,36,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,29,2141,SCHO,,Adult ,4118455,364911,29,,U,,,Alive ,Forest ,,,,,,1,,,,,,,,,
,38,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,"AO,KM, ADS",Yorktown Tour Roads,YT,RC-14-Apr-15-03,1,2146,SCHO,,Adult,4118448,364197,,,U,,,Alive,Forest,,4,,,,4,,,,,,,,,
,40,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,"AO,KM, ADS",Yorktown Tour Roads,YT,RC-14-Apr-15-03,3,2202,SCHO,,Adult,4121453,363693,,,U,,,Alive,Forest,,7,,,,7,,,,,,,,,
,48,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,5,2053,SCHO,,Adult,4118705,344373,,,U,,,Alive,Road,,3,,,,3,,,,,,,,,
,51,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,8,2121,SCHO,,Adult,4119019,344758,50,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,52,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,9,2130,SCHO,,Adult,4119019,344758,55,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,53,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,10,2130,SCHO,,Adult,4119019,344758,50,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,54,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,11,2130,SCHO,,Adult,4119019,344758,40,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,55,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,12,2130,SCHO,,Adult,4119019,344758,52,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,56,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,13,2140,SCHO,,Adult,4119065,344726,50,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,57,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,14,2137,SCHO,,Adult,4119065,344726,50,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,58,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,15,2137,SCHO,,Adult,4119065,344726,48,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,59,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,16,2137,SCHO,,Adult,4119065,344726,40,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,60,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,17,2137,SCHO,,Adult,4119065,344726,54,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,61,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,18,2137,SCHO,,Adult,4119065,344726,45,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,62,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,19,2137,SCHO,,Adult,4119065,344726,51,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,63,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,20,2141,SCHO,,Adult,4119065,344726,51,,U,,,Alive,Forest,,,,,,1,,,,,,,,,
,75,NAD83,18N,UTM,ROAD CRUISE,19-Apr-15,"AO,KM,ADS",Jamestown Tour Roads,JI,RC-19-Apr-15-02,32,2214,SCHO,,,4120588,341688,,,U,,,Alive,Road,Forest,2,,,,2,,,,,,,,,
,82,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,6,2130,SCHO,,,4118748,366483,,,U,,,Alive,Leaf litter,Forest,2X individuals,,,,2,,,,,,,,,
,84,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,8,2145,SCHO,,,4118457,365325,,,U,,,Alive,1-field 2-forest,Forest,3X individuals,,,,3,,,,,,,,,
,89,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,13,2212,SCHO,,,4118439,364796,,,U,,,Alive,Leaf litter,Forest,6X individuals,,,,6,,,,,,,,,
,92,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,16,2230,SCHO,,,4119257,364571,,,U,,,Alive,Leaf litter,Forest,4X individuals,,,,4,,,,,,,,,
,95,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,19,2255,SCHO,,,4121531,363047,,,U,,,Alive,Leaf litter,Forest,6X individuals,,,,6,,,,,,,,,
,96,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,20,2305,SCHO,,,4119965,364489,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,97,NAD83,18N,UTM,ROAD CRUISE,6-May-15,"ADS,KM,AO",Yorktown Tour Road,YT,RC-06-May-15-01,21,2325,SCHO,,,4120092,365760,,,U,,,Alive,Leaf litter,Forest,4X individuals,,,,4,,,,,,,,,
,99,NAD83,18N,UTM,ROAD CRUISE,24-May-15,"MW,ADS",Yorktown Tour Road,YT,RC-24-May-15-01,2,2149,SCHO,,,4119101,367448,,,U,,,Alive,Leaf litter,Forest,4X,,,,4,,,,,,,,,
,100,NAD83,18N,UTM,ROAD CRUISE,24-May-15,"MW,ADS",Yorktown Tour Road,YT,RC-24-May-15-01,3,2159,SCHO,,,4119097,366592,,,U,,,Alive,,Field,,,,,1,,,,,,,,,
,102,NAD83,18N,UTM,ROAD CRUISE,24-May-15,"MW,ADS",Yorktown Tour Road,YT,RC-24-May-15-01,5,2206,SCHO,,,4118422,365984,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,105,NAD83,18N,UTM,ROAD CRUISE,24-May-15,"MW,ADS",Yorktown Tour Road,YT,RC-24-May-15-01,8,2316,SCHO,,,4120802,365672,,,U,,,Alive,Grass,Field,,,,,1,,,,,,,,,
,120,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,15,2237,SCHO,,,4118600,344911,,,U,,,Alive,Grass,Forest,,,,,1,,,,,,,,,
,121,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,16,2248,SCHO,,,4118928,344870,,,U,,,Alive,Grass,Forest,,,,,1,,,,,,,,,
,122,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,17,2248,SCHO,,,4118911,344885,,,U,,,Alive,Leaf litter,Forest,3X,,,,3,,,,,,,,,
,125,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,20,2250,SCHO,,,4118949,344871,,,U,,,Aive,Road,Forest,,,,,1,,,,,,,,,
,131,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,26,2335,SCHO,,,4120656,341691,,,U,,,Alive,Road,Forest,,,,,1,,,,,,,,,
,132,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,27,2335,SCHO,,,4120656,341691,,,U,,,Alive,Grass,Forest,4X,,,,4,,,,,,,,,
,133,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,28,2237,SCHO,,,4120922,341711,,,U,,,Alive,Road,Forest,,,,,1,,,,,,,,,
,134,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,29,2341,SCHO,,,4120973,341623,,,U,,,Alive,Road,Forest,Glasshouse parking lot,,,,1,,,,,,,,,
,136,NAD83,18N,UTM,ROAD CRUISE,27-May-15,"ADS,MW,ES,KB",Jamestown Tour Roads,JI,RC-27-May-15-01,31,2345,SCHO,,,4120978,341616,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,183,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-01,11,2121,SCHO,,,4119701,367600,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,184,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-01,12,2123,SCHO,,,4119646,367620,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,185,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-01,13,2125,SCHO,,,4119456,367621,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,187,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-01,15,2132,SCHO,,,4119057,367094,,,U,,,Alive,Road,Field,,,,,1,,,,,,,,,
,197,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-01,25,2211,SCHO,,,4118412,365872,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,205,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,1,2257,SCHO,,,4118444,364840,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,206,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,2,2300,SCHO,,,4118444,364619,,,U,,,Alive,Leaf litter,Forest,2X,,,,2,,,,,,,,,
,208,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,4,2303,SCHO,,,4118454,364503,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,216,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,12,2329,SCHO,,,4119823,364370,,,U,,,Alive,Grass,Forest,,,,,1,,,,,,,,,
,217,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,13,2330,SCHO,,,4119825,364361,,,U,,,Alive,Road,Forest,,,,,1,,,,,,,,,
,218,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,14,2335,SCHO,,,4120443,363863,,,U,,,Alive,Road,Forest,,,,,1,,,,,,,,,
,219,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,15,2336,SCHO,,,4120509,363841,,,U,,,Alive,Road,Forest,,,,,1,,,,,,,,,
,232,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,28,17,SCHO,2,,4120564,365665,,,U,,,Alive,Water,Field,Index #2,,,,,,,,,,,,,
,249,NAD83,18N,UTM,ROAD CRUISE,29-Jul-15,ADS KB ES,Yorktown Tour Roads,YT,RC-29-Jul-15-01,14,2145,SCHO,,Adult,4118380,366205,,,U,,,Alive,Grass,Forest,,,,,1,,,,,,,,,
,14,NAD83,18N,UTM,ROAD CRUISE,13-Mar-16,"ADS, AO",Jamestown Tour Loop,JI,RC-13-Mar-2016-01,11,2207,SCHO,,,4120975,341610,,,U,,,A,Road,Forest,,,,,1,,,,,,,,,
,26,NAD83,18N,UTM,ROAD CRUISE,28-Mar-16,"ADS, AO",Yorktown Tour Roads,YT,RC-28-Mar-2016-01,1,2020,SCHO,,,4121484,363048,,,U,,,A,L.L,forest,"x4, all 1/2 burrow",,,,4,,,,,,,,,
,27,NAD83,18N,UTM,ROAD CRUISE,28-Mar-16,"ADS, AO",Yorktown Tour Roads,YT,RC-28-Mar-2016-01,2,2030,SCHO,,,4121540,363016,,,U,,,A,L.L,forest,,,,,1,,,,,,,,,
,28,NAD83,18N,UTM,ROAD CRUISE,28-Mar-16,"ADS, AO",Yorktown Tour Roads,YT,RC-28-Mar-2016-01,3,2055,SCHO,,,4120574,363793,,,U,,,A,L.L,forest,x7,,,,7,,,,,,,,,
,29,NAD83,18N,UTM,ROAD CRUISE,28-Mar-16,"ADS, AO",Yorktown Tour Roads,YT,RC-28-Mar-2016-01,4,2102,SCHO,,,4120345,368252,,,U,,,A,L.L.,forest,x2,,,,2,,,,,,,,,
,34,NAD83,18N,UTM,ROAD CRUISE,3-May-16,"ADS, AO, ML",Yorktown Tour Roads,YT,RC-03-May-2016-01,5,2150,SCHO,,Adult,4119808,367582,,,U,,,A,L.L.,,,,,,1,,,,,,,,,
,58,NAD83,18N,UTM,ROAD CRUISE,3-Jun-16,"ADS, ML, JF, KN",Yorktown Tour Roads,YT,RC-03-Jun-2016-01,11,2205,SCHO,,Adult,4119004,367363,,,U,,,A,Road,,,,,,1,,,,,,,,,
,60,NAD83,18N,UTM,ROAD CRUISE,3-Jun-16,"ADS, ML, JF, KN",Yorktown Tour Roads,YT,RC-03-Jun-2016-01,13,2209,SCHO,,Adult,4119044,367118,,,U,,,A,Road,,,,,,1,,,,,,,,,
,62,NAD83,18N,UTM,ROAD CRUISE,3-Jun-16,"ADS, ML, JF, KN",Yorktown Tour Roads,YT,RC-03-Jun-2016-01,15,2224,SCHO,,Adult,4118866,366426,,,U,,,A,Road,,,,,,1,,,,,,,,,
,15,NAD83,18N,UTM,TERRESTRIAL VES,8-Apr-15,AO AD,Fire Trail 1 ,YT ,TV-08-Apr-15-01,4,2213,SCHO,,Adult ,4117414,365924,,,U,,,Alive,log crevice,forest ,,,,,1,,,,,,,,,
,18,NAD83,18N,UTM,TERRESTRIAL VES,8-Apr-15,AO AD,Fire Trail 1 ,YT ,TV-08-Apr-15-01,7,2239,SCHO,,Adult ,4117751,365894,,,U,,,Alive,above leaf litter,forest ,,,,,1,,,,,,,,,
,19,NAD83,18N,UTM,TERRESTRIAL VES,8-Apr-15,AO AD,Fire Trail 1 ,YT ,TV-08-Apr-15-01,8,2240,SCHO,,Adult ,4117844,365879,,,U,,,Alive,above leaf litter,forest ,,,,,1,,,,,,,,,
,204,NAD83,18N,UTM,TERRESTRIAL VES,23-May-15,"AD,MW",Green Spring East Sect,GS,TV-23-May-15-01,1,,SCHO,,,4124853,340416,,,U,,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,248,NAD83,18N,UTM,TERRESTRIAL VES,17-Jun-15,"ADS,ES,KB",YT Fire trail 2,YT,TV-17-Jun-15-05,2,2127,SCHO,,,4118444,365496,,,U,,,Alive,Burrow,Forest,,,,,1,,,,,,,,,
,322,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,Gooseley Rd Cemetery,YT,TV-30-Jul-15-05,6,2151,SCHO,,Adult,4120668,366129,,,U,,,Alive,Leaf litter ,Forest,,,,,1,,,,,,,,,
