"","Index","Date","X","Y","Method","SVL_mm","Mass","STAGE","Burrow_Depth"
"28",2228,"20-May-17",363738,"4120676","RoadVES","58.3","","M",59.6
"29",166,"4/18/16",363583,"4121024","RoadVES","36.2","-","U",61
"30",264,"4/19/16",363565,"4121509","RoadVES","40.9","-","U",66.4
"31",1533,"16-May-17",364238,"4119924","RoadVES","38","","SNBA",66.5
"32",148,"4/18/16",363059,"4121123","RoadVES","50.6","-","U",67
"33",464,"23-Apr-16",365817,"4118411","RoadVES","53.1","-","SNBA",68.5
"34",262,"4/19/16",363572,"4121512","RoadVES","45","-","U",70.1
"35",286,"4/19/16",363115,"4121617","RoadVES","50.3","-","U",70.4
"36",266,"4/19/16",363549,"4121527","RoadVES","52.4","-","U",73.5
"37",1947,"19-May-17",367142,"4119019","RoadVES","58.9","","F",74.5
"38",253,"4/19/16",363618,"4121510","RoadVES","42.3","-","U",74.9
"39",1775,"18-May-17",364657,"4119319","RoadVES","45.2","","F",75.2
"40",273,"4/19/16",363538,"4121512","RoadVES","47","-","M",75.8
"41",1679,"17-May-17",366466,"4119011","RoadVES","52.5","","M",76.3
"42",143,"4/18/16",363059,"4121215","RoadVES","49.9","-","U",81
"43",447,"23-Apr-16",365759,"4118399","RoadVES","43.3","-","F",83.8
"44",1404,"15-May-17",363804,"4120596","RoadVES","48.1","","M",84.3
"45",611,"9-May-16",364691,"4118423","RoadVES","64","27.5","F",90
"46",1393,"15-May-17",363839,"4120480","RoadVES","53.4","","M",93
"47",285,"4/19/16",363170,"4121608","RoadVES","51.1","-","U",93.7
"48",1678,"17-May-17",366451,"4119017","RoadVES","53.6","","F",94.2
"49",585,"9-May-16",364770,"4118394","RoadVES","54.2","20","F",98.1
"50",1630,"17-May-17",365286,"4118435","RoadVES","55.5","","F",100
"51",1452,"16-May-17",364436,"4119750","RoadVES","52","","M",100
"52",1786,"18-May-17",364460,"4119988","RoadVES","50.3","","F",101.3
"53",2142,"19-May-17",367639,"4119577","RoadVES","54","","F",107.7
"54",1008,"19-Aug-16",363847,"4120477","RoadVES","48.1","-","F",114
"55",1943,"19-May-17",367078,"4119039","RoadVES","66.2","","F",120
"56",1523,"16-May-17",364105,"4119995","RoadVES","47.6","","M",128
"57",1635,"17-May-17",365324,"4118437","RoadVES","54.4","","M",137
